sex,age,parch,fare,class,embark_town,alone,label
male,54.0,0,14.0,Second,Southampton,True,0
male,22.0,0,9.0,Third,Southampton,True,0
male,29.0,0,7.75,Third,Queenstown,True,1
male,,0,30.5,First,Southampton,True,1
male,40.0,1,15.5,Third,Queenstown,False,0
male,,0,7.7375,Third,Queenstown,True,0
female,22.0,0,9.8375,Third,Southampton,True,0
male,24.0,0,79.2,First,Cherbourg,True,0
male,18.0,1,20.2125,Third,Southampton,False,0
male,18.0,0,73.5,Second,Southampton,True,0
male,28.5,0,7.2292,Third,Cherbourg,True,0
male,37.0,1,52.5542,First,Southampton,False,1
male,46.0,0,79.2,First,Cherbourg,True,0
male,,0,56.4958,Third,Southampton,True,1
male,31.0,0,50.4958,First,Southampton,True,0
male,44.0,0,8.05,Third,Southampton,True,0
male,25.0,0,26.0,Second,Southampton,False,0
female,,0,89.1042,First,Cherbourg,False,1
male,49.0,0,0.0,Third,Southampton,True,0
male,29.0,0,9.5,Third,Southampton,True,1
female,42.0,0,26.0,Second,Southampton,False,1
male,39.0,0,7.925,Third,Southampton,True,1
male,,0,24.15,Third,Queenstown,True,0
female,,0,7.6292,Third,Queenstown,True,0
male,1.0,2,46.9,Third,Southampton,False,0
female,25.0,1,30.0,Second,Southampton,False,1
male,42.0,0,26.2875,First,Southampton,True,1
male,,0,15.5,Third,Queenstown,True,0
male,38.0,0,0.0,First,Southampton,True,0
male,40.5,0,7.75,Third,Queenstown,True,0
female,40.0,0,13.0,Second,Southampton,True,1
female,24.0,0,69.3,First,Cherbourg,True,1
male,14.0,1,39.6875,Third,Southampton,False,0
male,2.0,1,29.125,Third,Queenstown,False,0
female,2.0,2,31.275,Third,Southampton,False,0
female,3.0,2,41.5792,Second,Cherbourg,False,1
female,18.0,0,6.75,Third,Queenstown,True,0
male,47.0,0,38.5,First,Southampton,True,0
male,25.0,0,7.8958,Third,Southampton,True,0
male,,0,0.0,First,Southampton,True,0
male,29.0,0,7.875,Third,Southampton,True,0
female,43.0,1,211.3375,First,Southampton,False,1
male,44.0,0,26.0,Second,Southampton,False,0
male,42.0,1,8.4042,Third,Southampton,False,0
female,17.0,2,7.925,Third,Southampton,False,1
male,19.0,0,8.05,Third,Southampton,True,0
male,70.0,0,10.5,Second,Southampton,True,0
male,,0,56.4958,Third,Southampton,True,0
female,28.0,0,13.0,Second,Southampton,True,1
female,45.0,1,164.8667,First,Southampton,False,1
female,63.0,0,9.5875,Third,Southampton,True,1
female,27.0,0,13.8583,Second,Cherbourg,False,1
female,36.0,2,120.0,First,Southampton,False,1
male,,0,7.2292,Third,Cherbourg,True,0
male,30.0,0,24.0,Second,Cherbourg,False,0
female,23.0,0,7.925,Third,Southampton,True,0
male,28.0,0,35.5,First,Southampton,True,1
female,39.0,1,79.65,First,Southampton,False,1
female,31.0,1,20.525,Third,Southampton,False,1
male,23.0,0,10.5,Second,Southampton,True,0
female,30.0,1,24.15,Third,Southampton,False,0
male,25.0,0,91.0792,First,Cherbourg,False,1
female,30.0,0,31.0,First,Cherbourg,True,1
female,34.0,1,32.5,Second,Southampton,False,1
male,16.0,0,26.0,Second,Southampton,True,0
female,44.0,0,27.7208,First,Cherbourg,True,1
female,,0,7.75,Third,Queenstown,True,1
male,26.0,0,56.4958,Third,Southampton,True,1
male,25.0,0,17.8,Third,Southampton,False,0
male,54.0,0,26.0,Second,Southampton,True,0
male,,0,15.05,Second,Cherbourg,True,0
male,29.0,0,21.0,Second,Southampton,False,0
male,10.0,2,27.9,Third,Southampton,False,0
male,,0,15.5,Third,Queenstown,False,0
male,44.0,0,8.05,Third,Southampton,True,0
male,51.0,0,12.525,Second,Southampton,True,0
male,28.0,0,7.8958,Third,Southampton,True,0
female,9.0,2,34.375,Third,Southampton,False,0
female,32.5,0,13.0,Second,Southampton,True,1
male,20.5,0,7.25,Third,Southampton,True,0
male,18.0,0,6.4958,Third,Southampton,False,0
female,,0,133.65,First,Southampton,False,1
male,19.0,0,8.05,Third,Southampton,True,1
female,15.0,1,211.3375,First,Southampton,False,1
male,20.0,0,7.8542,Third,Southampton,True,0
male,50.0,0,133.65,First,Southampton,False,1
male,26.0,0,18.7875,Third,Cherbourg,True,1
male,37.0,0,26.0,Second,Southampton,False,0
male,21.0,0,73.5,Second,Southampton,True,0
female,35.0,0,21.0,Second,Southampton,True,1
male,8.0,1,29.125,Third,Queenstown,False,0
female,24.0,0,13.0,Second,Southampton,True,0
male,,0,7.05,Third,Southampton,True,0
male,27.0,0,6.975,Third,Southampton,True,1
female,,0,7.7375,Third,Queenstown,True,1
female,28.0,1,14.4,Third,Southampton,False,0
female,,0,8.05,Third,Southampton,True,0
male,,0,7.775,Third,Southampton,True,1
male,,0,13.0,Second,Southampton,True,1
male,28.0,0,47.1,First,Southampton,True,0
male,21.0,0,7.7958,Third,Southampton,True,1
female,30.0,0,21.0,Second,Southampton,False,1
male,,0,7.8958,Third,Cherbourg,True,0
male,21.0,0,7.925,Third,Southampton,True,0
male,23.0,1,11.5,Second,Southampton,False,0
female,5.0,2,27.75,Second,Southampton,False,1
male,,0,52.0,First,Southampton,True,0
male,18.0,0,108.9,First,Cherbourg,False,0
male,19.0,1,36.75,Second,Southampton,False,0
female,21.0,2,34.375,Third,Southampton,False,0
male,35.0,0,7.125,Third,Southampton,True,0
female,17.0,0,57.0,First,Southampton,False,1
male,22.0,0,7.25,Third,Southampton,True,0
female,54.0,3,23.0,Second,Southampton,False,1
male,49.0,1,110.8833,First,Cherbourg,False,0
male,,0,7.75,Third,Queenstown,True,1
male,11.0,2,46.9,Third,Southampton,False,0
female,,0,7.75,Third,Queenstown,True,1
male,58.0,0,29.7,First,Cherbourg,True,0
female,35.0,0,53.1,First,Southampton,False,1
male,,0,8.05,Third,Southampton,True,0
male,34.0,0,26.0,Second,Southampton,False,0
male,20.0,0,7.925,Third,Southampton,False,1
male,36.0,0,10.5,Second,Southampton,True,0
male,31.0,0,13.0,Second,Southampton,True,1
male,34.5,0,6.4375,Third,Cherbourg,True,0
male,42.0,0,52.5542,First,Southampton,False,1
male,,0,35.0,First,Southampton,True,0
female,24.0,0,8.85,Third,Southampton,True,0
male,62.0,0,26.55,First,Southampton,True,0
male,65.0,0,26.55,First,Southampton,True,0
female,33.0,2,26.0,Second,Southampton,False,1
male,19.0,0,10.1708,Third,Southampton,True,0
female,22.0,2,49.5,First,Cherbourg,False,1
female,9.0,1,15.2458,Third,Cherbourg,False,0
male,,0,0.0,Second,Southampton,True,0
female,24.0,2,65.0,Second,Southampton,False,1
male,28.0,0,26.55,First,Southampton,True,1
female,24.0,0,83.1583,First,Cherbourg,True,1
female,17.0,0,14.4583,Third,Cherbourg,True,0
male,25.0,0,13.0,Second,Southampton,True,0
male,19.0,0,7.8958,Third,Southampton,True,0
female,42.0,0,13.0,Second,Southampton,True,1
female,36.0,0,13.0,Second,Southampton,True,1
female,,0,146.5208,First,Cherbourg,False,1
male,28.0,0,82.1708,First,Cherbourg,False,0
female,,0,16.1,Third,Southampton,False,1
male,,0,7.8958,Third,Southampton,True,0
male,23.0,0,13.0,Second,Southampton,True,0
male,35.0,0,7.8958,Third,Cherbourg,True,0
male,19.0,0,7.775,Third,Southampton,True,0
male,17.0,0,8.6625,Third,Southampton,True,0
male,35.0,0,8.05,Third,Southampton,True,0
male,,0,0.0,Second,Southampton,True,0
male,,0,7.75,Third,Queenstown,True,0
female,,0,7.75,Third,Queenstown,True,0
male,28.0,0,9.5,Third,Southampton,True,0
male,19.0,0,14.5,Third,Southampton,True,0
male,48.0,0,7.8542,Third,Southampton,True,0
male,24.0,0,9.5,Third,Southampton,True,0
female,18.0,1,9.35,Third,Southampton,False,1
male,,0,7.225,Third,Cherbourg,True,0
male,65.0,1,61.9792,First,Cherbourg,False,0
female,15.0,0,14.4542,Third,Cherbourg,False,1
